代號,名稱,市場,產業別,一年(β),市值(億),成立年數,近3年平均ROE(%),近3年加權平均ROE(%),最新單季ROE(%),PER,累月營收年增(%),最新季度負債總額佔比(%),現金股利連配次數,成交價現金殖利率,一年(σ年),僑外投資持股(%),本國法人持股(%),最新近4Q每股自由金流(元)
6208,日揚,櫃,半導體業,0.78,46.1,28.3,13.4,12.3,2.14,16,-4.91,53,1,4.11,32.2,2.07,29.4,1.8
6210,慶生,櫃,電子零組件業,0.73,6.57,41,-13.7,-18.3,-9.23,,4.71,17.3,-2,0,39.1,0.28,5.17,-0.16
6212,理銘,櫃,建材營造業,0.56,43,47.9,14.9,16.8,1.74,6.15,-42.4,66.7,2,8.29,34.3,0.55,81.4,4.82
6217,中探針,櫃,電子零組件業,1.12,56.7,39.7,-1.39,-4.27,-2.93,,21.7,50.4,-1,0,45.2,3.35,5.66,-2.96
6218,豪勉,櫃,通信網路業,1.22,12.8,46.4,-2.03,-4.3,-1.29,,9.67,48.2,-1,0,46.5,1.54,8.83,1.09
6219,富旺,櫃,建材營造業,0.91,24.9,28.4,-7.07,6.61,-6.42,14.3,-99.5,86,1,0,41.4,1.97,57.8,-17.8
6220,岳豐,櫃,電子零組件業,0.72,27,42,6.75,1.68,-0.42,17.4,-18.8,68.3,11,3.79,30.2,3.37,21.6,1.32
6221,晉泰,櫃,資訊服務業,0.73,59.4,31.2,17.5,17.3,3.85,12.9,21.8,49.5,-2,0,38.7,0.89,77.2,11.8
6222,立軒,櫃,光電業,0.33,12.1,39.1,-2.58,-4.39,-0.58,,7.55,0.71,-20,0,29.1,0.04,40.3,-2.59
6223,旺矽,櫃,半導體業,1.6,"1,508",30.2,21.3,22.7,6.33,55.5,36.3,53.3,15,1,58.4,20.4,14.9,1.6
6227,茂綸,櫃,電子通路業,1.39,68.9,46.6,20,18.9,-0.73,17.3,54.8,65.7,24,4.2,61.2,12.3,68.7,-4.95
6228,全譜,櫃,電腦及週邊設備業,0.75,7.81,32,-12.1,-11.5,-6.41,,6.68,37.5,-21,0,68.3,0.24,66.8,-0.43
